"","Sentence","Subject","Length_of_sentence_recording","Expected_length_of_Recording","Length_of_Recording","Unexpected_Overspill"
"1","Sarah_engels_Mary_boils_a_potato_0.wav","13c98e912212b5f35940704e0b0888ba",1931,4631,5123,492
"2","Sarah_engels_Mary_boils_a_potato_0.wav","1615981459",1931,4631,4658,27
"3","Sarah_engels_Mary_boils_a_potato_0.wav","46c3b725b7b943366f24bc420b0d72a7",1931,4631,5181,550
"4","Sarah_engels_Mary_boils_a_potato_0.wav","7304b0bf72856db551282e1c54fbf7eb",1931,4631,5250,619
"5","Sarah_engels_Mary_boils_a_potato_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1931,4631,5225,594
"6","Sarah_engels_Mary_boils_a_potato_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1931,4631,5360,729
"7","Sarah_engels_Mary_boils_a_potato_0.wav","920a27b518e889e62252ffb5766b8a71",1931,4631,6075,1444
"8","Sarah_engels_Mary_boils_a_potato_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1931,4631,5288,657
"9","Sarah_engels_Mary_boils_a_potato_0.wav","f8c19b269a3307cc3794c234603144f8",1931,4631,5247,616
"10","Sarah_engels_Mary_breaks_a_fence_0.wav","13c98e912212b5f35940704e0b0888ba",1869,4569,4356,-213
"11","Sarah_engels_Mary_breaks_a_fence_0.wav","1615981459",1869,4569,5214,645
"12","Sarah_engels_Mary_breaks_a_fence_0.wav","46c3b725b7b943366f24bc420b0d72a7",1869,4569,4361,-208
"13","Sarah_engels_Mary_breaks_a_fence_0.wav","7304b0bf72856db551282e1c54fbf7eb",1869,4569,4351,-218
"14","Sarah_engels_Mary_breaks_a_fence_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1869,4569,4391,-178
"15","Sarah_engels_Mary_breaks_a_fence_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1869,4569,4552,-17
"16","Sarah_engels_Mary_breaks_a_fence_0.wav","920a27b518e889e62252ffb5766b8a71",1869,4569,5208,639
"17","Sarah_engels_Mary_breaks_a_fence_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1869,4569,4406,-163
"18","Sarah_engels_Mary_breaks_a_fence_0.wav","f8c19b269a3307cc3794c234603144f8",1869,4569,4317,-252
"19","Sarah_engels_Mary_builds_a_fence_0.wav","13c98e912212b5f35940704e0b0888ba",1792,4492,4260,-232
"20","Sarah_engels_Mary_builds_a_fence_0.wav","1615981459",1792,4492,4677,185
"21","Sarah_engels_Mary_builds_a_fence_0.wav","46c3b725b7b943366f24bc420b0d72a7",1792,4492,4241,-251
"22","Sarah_engels_Mary_builds_a_fence_0.wav","7304b0bf72856db551282e1c54fbf7eb",1792,4492,4372,-120
"23","Sarah_engels_Mary_builds_a_fence_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1792,4492,4257,-235
"24","Sarah_engels_Mary_builds_a_fence_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1792,4492,4537,45
"25","Sarah_engels_Mary_builds_a_fence_0.wav","920a27b518e889e62252ffb5766b8a71",1792,4492,5128,636
"26","Sarah_engels_Mary_builds_a_fence_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1792,4492,4302,-190
"27","Sarah_engels_Mary_builds_a_fence_0.wav","f8c19b269a3307cc3794c234603144f8",1792,4492,4261,-231
